identifier,tag,param_size,required_gb,pulls,capabilities,purposes,description
dolphin-phi,dolphin-phi:2.7b,2.7b,2.62,1.6M,,general,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research."
sqlcoder,sqlcoder:7b,7b,5.2,1.6M,,coding|general,SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks
sqlcoder,sqlcoder:15b,15b,10.0,1.6M,,coding|general,SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks
phi,phi:2.7b,2.7b,2.62,1.5M,,general|reasoning,Phi-2: a 2.7B language model by Microsoft Research that demonstrates outstanding reasoning and language understanding capabilities.
granite-code,granite-code:3b,3b,2.8,1.5M,,coding|general,A family of open foundation models by IBM for Code Intelligence
granite-code,granite-code:8b,8b,5.8,1.5M,,coding|general,A family of open foundation models by IBM for Code Intelligence
granite-code,granite-code:20b,20b,13.0,1.5M,,coding|general,A family of open foundation models by IBM for Code Intelligence
granite-code,granite-code:34b,34b,21.4,1.5M,,coding|general,A family of open foundation models by IBM for Code Intelligence
glm-4.7-flash,glm-4.7-flash,default,4.0,1.5M,tools|thinking,general|reasoning,"As the strongest model in the 30B class, GLM-4.7-Flash offers a new option for lightweight deployment that balances performance and efficiency."
command-r,command-r:35b,35b,22.0,1.5M,tools,general,Command R is a Large Language Model optimized for conversational interaction and long context tasks.
magistral,magistral:24b,24b,15.4,1.5M,tools|thinking,general|reasoning,"Magistral is a small, efficient reasoning model with 24B parameters."
granite4,granite4:1b,1b,1.6,1.5M,,general,"Granite 4 features improved instruction following (IF) and tool-calling capabilities, making them more effective in enterprise applications. tools 350m"
granite4,granite4:3b,3b,2.8,1.5M,,general,"Granite 4 features improved instruction following (IF) and tool-calling capabilities, making them more effective in enterprise applications. tools 350m"
ministral-3,ministral-3:3b,3b,2.8,1.4M,vision|tools,general|vision,"The Ministral 3 family is designed for edge deployment, capable of running on a wide range of hardware."
ministral-3,ministral-3:8b,8b,5.8,1.4M,vision|tools,general|vision,"The Ministral 3 family is designed for edge deployment, capable of running on a wide range of hardware."
ministral-3,ministral-3:14b,14b,9.4,1.4M,vision|tools,general|vision,"The Ministral 3 family is designed for edge deployment, capable of running on a wide range of hardware."
yi,yi:6b,6b,4.6,1.4M,,general,"Yi 1.5 is a high-performing, bilingual language model."
yi,yi:9b,9b,6.4,1.4M,,general,"Yi 1.5 is a high-performing, bilingual language model."
yi,yi:34b,34b,21.4,1.4M,,general,"Yi 1.5 is a high-performing, bilingual language model."
phi4-mini,phi4-mini:3.8b,3.8b,3.28,1.4M,tools,general|reasoning,"Phi-4-mini brings significant enhancements in multilingual support, reasoning, and mathematics, and now, the long-awaited function calling feature is finally supported."
codestral,codestral:22b,22b,14.2,1.3M,,coding|general,Codestral is Mistral AI’s first-ever code model designed for code generation tasks.
mistral-large,mistral-large:123b,123b,74.8,1.3M,tools,coding|general|reasoning,"Mistral Large 2 is Mistral's new flagship model that is significantly more capable in code generation, mathematics, and reasoning with 128k context window and support for dozens of languages."
openchat,openchat:7b,7b,5.2,1.3M,,general,"A family of open-source models trained on a wide variety of data, surpassing ChatGPT on various benchmarks. Updated to version 3.5-0106."
wizard-vicuna-uncensored,wizard-vicuna-uncensored:7b,7b,5.2,1.3M,,general,"Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford."
wizard-vicuna-uncensored,wizard-vicuna-uncensored:13b,13b,8.8,1.3M,,general,"Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford."
wizard-vicuna-uncensored,wizard-vicuna-uncensored:30b,30b,19.0,1.3M,,general,"Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford."
lfm2.5-thinking,lfm2.5-thinking:1.2b,1.2b,1.72,1.3M,tools|thinking,general|reasoning,LFM2.5 is a new family of hybrid models designed for on-device deployment.
deepscaler,deepscaler:1.5b,1.5b,1.9,1.3M,,general|reasoning,A fine-tuned version of Deepseek-R1-Distilled-Qwen-1.5B that surpasses the performance of OpenAI’s o1-preview with just 1.5B parameters on popular math evaluations.
zephyr,zephyr:7b,7b,5.2,1.3M,,general,Zephyr is a series of fine-tuned versions of the Mistral and Mixtral models that are trained to act as helpful assistants.
zephyr,zephyr:141b,141b,85.6,1.3M,,general,Zephyr is a series of fine-tuned versions of the Mistral and Mixtral models that are trained to act as helpful assistants.
starcoder,starcoder:1b,1b,1.6,1.2M,,coding|general,StarCoder is a code generation model trained on 80+ programming languages.
starcoder,starcoder:3b,3b,2.8,1.2M,,coding|general,StarCoder is a code generation model trained on 80+ programming languages.
starcoder,starcoder:7b,7b,5.2,1.2M,,coding|general,StarCoder is a code generation model trained on 80+ programming languages.
starcoder,starcoder:15b,15b,10.0,1.2M,,coding|general,StarCoder is a code generation model trained on 80+ programming languages.
glm4,glm4:9b,9b,6.4,1.2M,,general,A strong multi-lingual general language model with competitive performance to Llama 3.
vicuna,vicuna:7b,7b,5.2,1.2M,,general,General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.
vicuna,vicuna:13b,13b,8.8,1.2M,,general,General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.
vicuna,vicuna:33b,33b,20.8,1.2M,,general,General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.
deepseek-llm,deepseek-llm:7b,7b,5.2,1.2M,,general,An advanced language model crafted with 2 trillion bilingual tokens.
deepseek-llm,deepseek-llm:67b,67b,41.2,1.2M,,general,An advanced language model crafted with 2 trillion bilingual tokens.
nous-hermes,nous-hermes:7b,7b,5.2,1.2M,,general,General use models based on Llama and Llama 2 from Nous Research.
nous-hermes,nous-hermes:13b,13b,8.8,1.2M,,general,General use models based on Llama and Llama 2 from Nous Research.
wizardlm2,wizardlm2:7b,7b,5.2,1.2M,,general|reasoning,"State of the art large language model from Microsoft AI with improved performance on complex chat, multilingual, reasoning and agent use cases."
wizardlm2,wizardlm2:8x22b,8x22b,106.6,1.2M,,general|reasoning,"State of the art large language model from Microsoft AI with improved performance on complex chat, multilingual, reasoning and agent use cases."
deepseek-v2,deepseek-v2:16b,16b,10.6,1.2M,,general,"A strong, economical, and efficient Mixture-of-Experts language model."
deepseek-v2,deepseek-v2:236b,236b,142.6,1.2M,,general,"A strong, economical, and efficient Mixture-of-Experts language model."
openthinker,openthinker:7b,7b,5.2,1.2M,,general|reasoning,A fully open-source family of reasoning models built using a dataset derived by distilling DeepSeek-R1.
openthinker,openthinker:32b,32b,20.2,1.2M,,general|reasoning,A fully open-source family of reasoning models built using a dataset derived by distilling DeepSeek-R1.
falcon,falcon:7b,7b,5.2,1.2M,,general,"A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots."
falcon,falcon:40b,40b,25.0,1.2M,,general,"A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots."
falcon,falcon:180b,180b,109.0,1.2M,,general,"A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots."
lfm2,lfm2:24b,24b,15.4,1.1M,tools,general,"LFM2 is a family of hybrid models designed for on-device deployment. LFM2-24B-A2B is the largest model in the family, scaling the architecture to 24 billion parameters while keeping inference efficient."
codeqwen,codeqwen:7b,7b,5.2,1.1M,,coding|general,CodeQwen1.5 is a large language model pretrained on a large amount of code data.
openhermes,openhermes,default,4.0,1.1M,,general,OpenHermes 2.5 is a 7B model fine-tuned by Teknium on Mistral with fully open datasets.
qwen2-math,qwen2-math:1.5b,1.5b,1.9,1.1M,,general,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o)."
qwen2-math,qwen2-math:7b,7b,5.2,1.1M,,general,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o)."
qwen2-math,qwen2-math:72b,72b,44.2,1.1M,,general,"Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o)."
neural-chat,neural-chat:7b,7b,5.2,1.1M,,general,A fine-tuned model based on Mistral with good coverage of domain and language.
granite3.3,granite3.3:2b,2b,2.2,1.1M,tools,general|reasoning,IBM Granite 2B and 8B models are 128K context length language models that have been fine-tuned for improved reasoning and instruction-following capabilities.
granite3.3,granite3.3:8b,8b,5.8,1.1M,tools,general|reasoning,IBM Granite 2B and 8B models are 128K context length language models that have been fine-tuned for improved reasoning and instruction-following capabilities.
nous-hermes2,nous-hermes2:10.7b,10.7b,7.42,1.1M,,coding|general,The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.
nous-hermes2,nous-hermes2:34b,34b,21.4,1.1M,,coding|general,The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.
aya,aya:8b,8b,5.8,1.1M,,general,"Aya 23, released by Cohere, is a new family of state-of-the-art, multilingual models that support 23 languages."
aya,aya:35b,35b,22.0,1.1M,,general,"Aya 23, released by Cohere, is a new family of state-of-the-art, multilingual models that support 23 languages."
llama2-chinese,llama2-chinese:7b,7b,5.2,1.1M,,general,Llama 2 based model fine tuned to improve Chinese dialogue ability.
llama2-chinese,llama2-chinese:13b,13b,8.8,1.1M,,general,Llama 2 based model fine tuned to improve Chinese dialogue ability.
yi-coder,yi-coder:1.5b,1.5b,1.9,1.1M,,coding|general,Yi-Coder is a series of open-source code language models that delivers state-of-the-art coding performance with fewer than 10 billion parameters.
yi-coder,yi-coder:9b,9b,6.4,1.1M,,coding|general,Yi-Coder is a series of open-source code language models that delivers state-of-the-art coding performance with fewer than 10 billion parameters.
stable-code,stable-code:3b,3b,2.8,1.1M,,coding|general,Stable Code 3B is a coding model with instruct and code completion variants on par with models such as Code Llama 7B that are 2.5x larger.
stablelm2,stablelm2:1.6b,1.6b,1.96,1.1M,,general,"Stable LM 2 is a state-of-the-art 1.6B and 12B parameter language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch."
stablelm2,stablelm2:12b,12b,8.2,1.1M,,general,"Stable LM 2 is a state-of-the-art 1.6B and 12B parameter language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch."
wizardcoder,wizardcoder:33b,33b,20.8,1.1M,,coding|general,State-of-the-art code generation model
llama3-chatqa,llama3-chatqa:8b,8b,5.8,1M,,general,A model from NVIDIA based on Llama 3 that excels at conversational question answering (QA) and retrieval-augmented generation (RAG).
llama3-chatqa,llama3-chatqa:70b,70b,43.0,1M,,general,A model from NVIDIA based on Llama 3 that excels at conversational question answering (QA) and retrieval-augmented generation (RAG).
qwen3.8,qwen3.8:27b,27b,17.2,1M,vision|tools|thinking,coding|general|reasoning|vision,"Qwen3.8 delivers substantial gains across coding, professional work, research, and long-horizon agentic tasks."
devstral,devstral:24b,24b,15.4,1M,tools,coding|general,Devstral: the best open source model for coding agents
llama-guard3,llama-guard3:1b,1b,1.6,1M,,general,Llama Guard 3 is a series of models fine-tuned for content safety classification of LLM inputs and responses.
llama-guard3,llama-guard3:8b,8b,5.8,1M,,general,Llama Guard 3 is a series of models fine-tuned for content safety classification of LLM inputs and responses.
wizard-math,wizard-math:7b,7b,5.2,1M,,general,Model focused on math and logic problems
wizard-math,wizard-math:13b,13b,8.8,1M,,general,Model focused on math and logic problems
wizard-math,wizard-math:70b,70b,43.0,1M,,general,Model focused on math and logic problems
granite3.1-dense,granite3.1-dense:2b,2b,2.2,1M,tools,general,"The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing."
granite3.1-dense,granite3.1-dense:8b,8b,5.8,1M,tools,general,"The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing."
granite3-dense,granite3-dense:2b,2b,2.2,1M,tools,coding|general,"The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing."
granite3-dense,granite3-dense:8b,8b,5.8,1M,tools,coding|general,"The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing."
phi3.5,phi3.5:3.8b,3.8b,3.28,1M,,general,A lightweight AI model with 3.8 billion parameters with performance overtaking similarly and larger sized models.
internlm2,internlm2:1.8b,1.8b,2.08,1M,,general|reasoning,InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability. 1m
internlm2,internlm2:7b,7b,5.2,1M,,general|reasoning,InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability. 1m
internlm2,internlm2:20b,20b,13.0,1M,,general|reasoning,InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability. 1m
aya-expanse,aya-expanse:8b,8b,5.8,1M,tools,general,Cohere For AI's language models trained to perform well across 23 different languages.
aya-expanse,aya-expanse:32b,32b,20.2,1M,tools,general,Cohere For AI's language models trained to perform well across 23 different languages.
dolphincoder,dolphincoder:7b,7b,5.2,1M,,coding|general,"A 7B and 15B uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2."
dolphincoder,dolphincoder:15b,15b,10.0,1M,,coding|general,"A 7B and 15B uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2."
samantha-mistral,samantha-mistral:7b,7b,5.2,998K,,general,"A companion assistant trained in philosophy, psychology, and personal relationships. Based on Mistral."
llama3-gradient,llama3-gradient:8b,8b,5.8,994.3K,,general,This model extends LLama-3 8B's context length from 8k to over 1m tokens.
llama3-gradient,llama3-gradient:70b,70b,43.0,994.3K,,general,This model extends LLama-3 8B's context length from 8k to over 1m tokens.
llama3-groq-tool-use,llama3-groq-tool-use:8b,8b,5.8,990.1K,tools,general,A series of models from Groq that represent a significant advancement in open-source AI capabilities for tool use/function calling.
llama3-groq-tool-use,llama3-groq-tool-use:70b,70b,43.0,990.1K,tools,general,A series of models from Groq that represent a significant advancement in open-source AI capabilities for tool use/function calling.
xwinlm,xwinlm:7b,7b,5.2,989.1K,,general,Conversational model based on Llama 2 that performs competitively on various benchmarks.
xwinlm,xwinlm:13b,13b,8.8,989.1K,,general,Conversational model based on Llama 2 that performs competitively on various benchmarks.
granite3.2-vision,granite3.2-vision:2b,2b,2.2,984.8K,vision|tools,general|vision,"A compact and efficient vision-language model, specifically designed for visual document understanding, enabling automated content extraction from tables, charts, infographics, plots, diagrams, and more."
starling-lm,starling-lm:7b,7b,5.2,977.2K,,general,Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness.
yarn-llama2,yarn-llama2:7b,7b,5.2,969.3K,,general,An extension of Llama 2 that supports a context of up to 128k tokens.
yarn-llama2,yarn-llama2:13b,13b,8.8,969.3K,,general,An extension of Llama 2 that supports a context of up to 128k tokens.
devstral-small-2,devstral-small-2:24b,24b,15.4,969K,vision|tools,coding|general|vision,"24B model that excels at using tools to explore codebases, editing multiple files and power software engineering agents."
phind-codellama,phind-codellama:34b,34b,21.4,967.8K,,coding|general,Code generation model based on Code Llama.
solar,solar:10.7b,10.7b,7.42,959.9K,,general,"A compact, yet powerful 10.7B large language model designed for single-turn conversation."
granite3-moe,granite3-moe:1b,1b,1.6,947.1K,tools,general,The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage.
granite3-moe,granite3-moe:3b,3b,2.8,947.1K,tools,general,The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage.
deepcoder,deepcoder:1.5b,1.5b,1.9,946.3K,,coding|general|reasoning,"DeepCoder is a fully open-Source 14B coder model at O3-mini level, with a 1.5B version also available."
deepcoder,deepcoder:14b,14b,9.4,946.3K,,coding|general|reasoning,"DeepCoder is a fully open-Source 14B coder model at O3-mini level, with a 1.5B version also available."
paraphrase-multilingual,paraphrase-multilingual,default,4.0,937.8K,,general,Sentence-transformers model that can be used for tasks like clustering or semantic search. embedding 278m
stable-beluga,stable-beluga:7b,7b,5.2,934.3K,,general,Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.
stable-beluga,stable-beluga:13b,13b,8.8,934.3K,,general,Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.
stable-beluga,stable-beluga:70b,70b,43.0,934.3K,,general,Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.
orca2,orca2:7b,7b,5.2,929.8K,,general|reasoning,"Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models. The model is designed to excel particularly in reasoning."
orca2,orca2:13b,13b,8.8,929.8K,,general|reasoning,"Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models. The model is designed to excel particularly in reasoning."
shieldgemma,shieldgemma:2b,2b,2.2,925K,,general,ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.
shieldgemma,shieldgemma:9b,9b,6.4,925K,,general,ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.
shieldgemma,shieldgemma:27b,27b,17.2,925K,,general,ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.
reader-lm,reader-lm:0.5b,0.5b,1.3,921.8K,,general,"A series of models that convert HTML content to Markdown content, which is useful for content conversion tasks."
reader-lm,reader-lm:1.5b,1.5b,1.9,921.8K,,general,"A series of models that convert HTML content to Markdown content, which is useful for content conversion tasks."
llama-pro,llama-pro,default,4.0,905.2K,,general,"An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics."
wizardlm,wizardlm,default,4.0,900.2K,,general,General use model based on Llama 2.
yarn-mistral,yarn-mistral:7b,7b,5.2,895.7K,,general,An extension of Mistral to support context windows of 64K or 128K.
nexusraven,nexusraven:13b,13b,8.8,890.7K,,general,Nexus Raven is a 13B instruction tuned model for function calling tasks.
bakllava,bakllava:7b,7b,5.2,882.2K,vision,general|vision,BakLLaVA is a multimodal model consisting of the Mistral 7B base model augmented with the LLaVA architecture.
meditron,meditron:7b,7b,5.2,843.7K,,general,Open-source medical large language model adapted from Llama 2 to the medical domain.
meditron,meditron:70b,70b,43.0,843.7K,,general,Open-source medical large language model adapted from Llama 2 to the medical domain.
nomic-embed-text-v2-moe,nomic-embed-text-v2-moe,default,4.0,807K,embedding,embedding,nomic-embed-text-v2-moe is a multilingual MoE text embedding model that excels at multilingual retrieval.
command-r-plus,command-r-plus:104b,104b,63.4,794.7K,tools,general,"Command R+ is a powerful, scalable large language model purpose-built to excel at real-world enterprise use cases."
mistral-small3.1,mistral-small3.1:24b,24b,15.4,782.4K,vision|tools,general|vision,"Building upon Mistral Small 3, Mistral Small 3.1 (2503) adds state-of-the-art vision understanding and enhances long context capabilities up to 128k tokens without compromising text performance."
exaone-deep,exaone-deep:2.4b,2.4b,2.44,762.5K,,coding|general|reasoning,"EXAONE Deep exhibits superior capabilities in various reasoning tasks including math and coding benchmarks, ranging from 2.4B to 32B parameters developed and released by LG AI Research."
exaone-deep,exaone-deep:7.8b,7.8b,5.68,762.5K,,coding|general|reasoning,"EXAONE Deep exhibits superior capabilities in various reasoning tasks including math and coding benchmarks, ranging from 2.4B to 32B parameters developed and released by LG AI Research."
exaone-deep,exaone-deep:32b,32b,20.2,762.5K,,coding|general|reasoning,"EXAONE Deep exhibits superior capabilities in various reasoning tasks including math and coding benchmarks, ranging from 2.4B to 32B parameters developed and released by LG AI Research."
nemotron-3-nano,nemotron-3-nano:4b,4b,3.4,734.8K,tools|thinking|cloud,general|reasoning,"Nemotron-3-Nano is a new Standard for Efficient, Open, and Intelligent Agentic Models, now updated with a 4B parameter count model."
nemotron-3-nano,nemotron-3-nano:30b,30b,19.0,734.8K,tools|thinking|cloud,general|reasoning,"Nemotron-3-Nano is a new Standard for Efficient, Open, and Intelligent Agentic Models, now updated with a 4B parameter count model."
deepseek-v3.1,deepseek-v3.1:671b,671b,403.6,724.3K,tools|thinking,general|reasoning,DeepSeek-V3.1-Terminus is a hybrid model that supports both thinking mode and non-thinking mode.
tinydolphin,tinydolphin:1.1b,1.1b,1.66,720.6K,,general,An experimental 1.1B parameter model trained on the new Dolphin 2.8 dataset by Eric Hartford and based on TinyLlama.
nemotron-mini,nemotron-mini:4b,4b,3.4,705.1K,tools,general,"A commercial-friendly small language model by NVIDIA optimized for roleplay, RAG QA, and function calling."
codegeex4,codegeex4:9b,9b,6.4,686.4K,,coding|general,"A versatile model for AI software development scenarios, including code completion."
medllama2,medllama2:7b,7b,5.2,678.6K,,general,Fine-tuned Llama 2 model to answer medical questions based on an open source medical dataset.
mistral-openorca,mistral-openorca:7b,7b,5.2,676.3K,,general,"Mistral OpenOrca is a 7 billion parameter model, fine-tuned on top of the Mistral 7B model using the OpenOrca dataset."
nemotron3,nemotron3:33b,33b,20.8,651K,vision|tools|thinking,general|reasoning|vision,"NVIDIA Nemotron 3 Nano Omni is a multimodal large language model that unifies video, audio, image, and text understanding to support enterprise-grade Q&A, summarization, transcription, and document intelligence workflows."
wizardlm-uncensored,wizardlm-uncensored:13b,13b,8.8,639.9K,,general,Uncensored version of Wizard LM model
opencoder,opencoder:1.5b,1.5b,1.9,634.8K,,coding|general,"OpenCoder is an open and reproducible code LLM family which includes 1.5B and 8B models, supporting chat in English and Chinese languages."
opencoder,opencoder:8b,8b,5.8,634.8K,,coding|general,"OpenCoder is an open and reproducible code LLM family which includes 1.5B and 8B models, supporting chat in English and Chinese languages."
reflection,reflection:70b,70b,43.0,613.4K,,general|reasoning,A high-performing model trained with a new technique called Reflection-tuning that teaches a LLM to detect mistakes in its reasoning and correct course.
nemotron,nemotron:70b,70b,43.0,613.3K,tools,general,Llama-3.1-Nemotron-70B-Instruct is a large language model customized by NVIDIA to improve the helpfulness of LLM generated responses to user queries.
codeup,codeup:13b,13b,8.8,591K,,coding|general,Great code generation model based on Llama2.
nous-hermes2-mixtral,nous-hermes2-mixtral:8x7b,8x7b,34.6,587K,,general,"The Nous Hermes 2 model from Nous Research, now trained over Mixtral."
athene-v2,athene-v2:72b,72b,44.2,585.9K,tools,coding|general,"Athene-V2 is a 72B parameter model which excels at code completion, mathematics, and log extraction tasks."
qwen3-next,qwen3-next:80b,80b,49.0,583.3K,tools|thinking,general|reasoning,The first installment in the Qwen3-Next series with strong performance in terms of both parameter efficiency and inference speed.
megadolphin,megadolphin:120b,120b,73.0,565K,,general,MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself.
everythinglm,everythinglm:13b,13b,8.8,561.9K,,general,Uncensored Llama2 based model with support for a 16K context window.
solar-pro,solar-pro:22b,22b,14.2,554.7K,,general,Solar Pro Preview: an advanced large language model (LLM) with 22 billion parameters designed to fit into a single GPU
magicoder,magicoder:7b,7b,5.2,551.1K,,coding|general,"🎩 Magicoder is a family of 7B parameter models trained on 75K synthetic instruction data using OSS-Instruct, a novel approach to enlightening LLMs with open-source code snippets."
exaone3.5,exaone3.5:2.4b,2.4b,2.44,550.4K,,general,"EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research."
exaone3.5,exaone3.5:7.8b,7.8b,5.68,550.4K,,general,"EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research."
exaone3.5,exaone3.5:32b,32b,20.2,550.4K,,general,"EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research."
mathstral,mathstral:7b,7b,5.2,545.3K,,general|reasoning,MathΣtral: a 7B model designed for math reasoning and scientific discovery by Mistral AI.
nuextract,nuextract:3.8b,3.8b,3.28,539.3K,,general,"A 3.8B model fine-tuned on a private high-quality synthetic dataset for information extraction, based on Phi-3."
falcon2,falcon2:11b,11b,7.6,536.8K,,general,Falcon2 is an 11B parameters causal decoder-only model built by TII and trained over 5T tokens.
notus,notus:7b,7b,5.2,535.9K,,general,A 7B chat model fine-tuned with high-quality data and based on Zephyr.
notux,notux:8x7b,8x7b,34.6,534.6K,,general,"A top-performing mixture of experts model, fine-tuned with high-quality data."
stablelm-zephyr,stablelm-zephyr:3b,3b,2.8,529.3K,,general,"A lightweight chat model allowing accurate, and responsive output without requiring high-end hardware."
bespoke-minicheck,bespoke-minicheck:7b,7b,5.2,525.1K,,general,A state-of-the-art fact-checking model developed by Bespoke Labs.
duckdb-nsql,duckdb-nsql:7b,7b,5.2,523.8K,,coding|general,7B parameter text-to-SQL model made by MotherDuck and Numbers Station.
deepseek-ocr,deepseek-ocr:3b,3b,2.8,522.1K,vision,general|vision,DeepSeek-OCR is a vision-language model that can perform token-efficient OCR.
mistrallite,mistrallite:7b,7b,5.2,520.1K,,general,MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts.
firefunction-v2,firefunction-v2:70b,70b,43.0,520.1K,tools,general,"An open weights function calling model based on Llama 3, competitive with GPT-4o function calling capabilities."
wizard-vicuna,wizard-vicuna:13b,13b,8.8,514.1K,,general,Wizard Vicuna is a 13B parameter model based on Llama 2 trained by MelodysDreamj.
open-orca-platypus2,open-orca-platypus2:13b,13b,8.8,506.4K,,coding|general,Merge of the Open Orca OpenChat model and the Garage-bAInd Platypus 2 model. Designed for chat and code generation.
rnj-1,rnj-1:8b,8b,5.8,504.8K,tools,coding|general,"Rnj-1 is a family of 8B parameter open-weight, dense models trained from scratch by Essential AI, optimized for code and STEM with capabilities on par with SOTA open-weight models."
codebooga,codebooga:34b,34b,21.4,496.8K,,coding|general,A high-performing code instruct model created by merging two existing code models.
minimax-m3,minimax-m3,default,4.0,495.6K,vision|tools|thinking|cloud,coding|general|reasoning|vision,MiniMax M3: Coding & Agentic Frontier. 1M context window. Native Multimodality.
goliath,goliath,default,4.0,475.7K,,general,A language model created by combining two fine-tuned Llama 2 70B models into one.
granite3.2,granite3.2:2b,2b,2.2,453.3K,tools,general,Granite-3.2 is a family of long-context AI models from IBM Granite fine-tuned for thinking capabilities.
granite3.2,granite3.2:8b,8b,5.8,453.3K,tools,general,Granite-3.2 is a family of long-context AI models from IBM Granite fine-tuned for thinking capabilities.
olmo-3,olmo-3:7b,7b,5.2,452.8K,tools|thinking,general|reasoning,Olmo is a series of Open language models designed to enable the science of language models. These models are pre-trained on the Dolma 3 dataset and post-trained on the Dolci datasets.
olmo-3,olmo-3:32b,32b,20.2,452.8K,tools|thinking,general|reasoning,Olmo is a series of Open language models designed to enable the science of language models. These models are pre-trained on the Dolma 3 dataset and post-trained on the Dolci datasets.
kimi-k2.6,kimi-k2.6,default,4.0,450.4K,vision|tools|thinking|cloud,coding|general|reasoning|vision,"Kimi K2.6 is an open-source, native multimodal agentic model that advances practical capabilities in long-horizon coding, coding-driven design, proactive autonomous execution, and swarm-based task orchestration."
snowflake-arctic-embed2,snowflake-arctic-embed2,default,4.0,444.9K,,embedding,Snowflake's frontier embedding model. Arctic Embed 2.0 adds multilingual support without sacrificing English performance or scalability. embedding 568m
ornith,ornith:9b,9b,6.4,427.3K,tools,coding|general,A self-improving family of open-source models for agentic coding
ornith,ornith:35b,35b,22.0,427.3K,tools,coding|general,A self-improving family of open-source models for agentic coding
r1-1776,r1-1776:70b,70b,43.0,418.8K,,general|reasoning,"A version of the DeepSeek-R1 model that has been post trained to provide unbiased, accurate, and factual information by Perplexity."
r1-1776,r1-1776:671b,671b,403.6,418.8K,,general|reasoning,"A version of the DeepSeek-R1 model that has been post trained to provide unbiased, accurate, and factual information by Perplexity."
